acco;http://purl.org/acco/ns#;Accomodation Ontology
acl;http://www.w3.org/ns/auth/acl#;Basic Access Control ontology
acm;http://acm.rkbexplorer.com/ontologies/acm#;ACM Classification Ontology
ad;http://schemas.talis.com/2005/address/schema#;Address Schema
adms;http://www.w3.org/ns/adms#;Asset Description Metadata Schema
af;http://purl.org/ontology/af/;Audio Features Ontology
agls;http://www.agls.gov.au/agls/terms/;AGLS Metadata Terms
agrelon;http://d-nb.info/standards/elementset/agrelon.owl#;Agent Relationship Ontology
aiiso;http://purl.org/vocab/aiiso/schema#;Academic Institution Internal Structure Ontology
akt;http://www.aktors.org/ontology/portal#;AKT Reference Ontology
akts;http://www.aktors.org/ontology/support#;AKT Support Ontology
algo;http://securitytoolbox.appspot.com/securityAlgorithms#;Algorithms Ontology
am;http://open-services.net/ns/asset#;OSLC Asset Management Vocabulary
ao;http://purl.org/ontology/ao/core#;Association Ontology
aos;http://rdf.muninn-project.org/ontologies/appearances#;Appearances Ontology Specification
api;http://purl.org/linked-data/api/vocab#;Linked Data API Vocabulary
arch;http://purl.org/archival/vocab/arch#;Archival collections ontology
awol;http://bblfish.net/work/atom-owl/2006-06-06/#;Atom Syndication Ontology
b2bo;http://purl.org/b2bo#;Business to Business Ontology
being;http://purl.org/ontomedia/ext/common/being#;OntoMedia Being Representation
bibo;http://purl.org/ontology/bibo/;The Bibliographic Ontology
bibtex;http://purl.org/net/nknouf/ns/bibtex#;BibTeX ontology
bio;http://purl.org/vocab/bio/0.1/;BIO: A vocabulary for biographical information
biol;http://purl.org/NET/biol/ns#;Biological Taxonomy Vocabulary 0.2 (Core)
biopax;http://www.biopax.org/release/biopax-level3.owl#;BioPAX Level 3 ontology
biotop;http://purl.org/biotop/biotop.owl#;BioTop
biro;http://purl.org/spar/biro/;The Bibliographic Reference Ontology
botany;http://purl.org/NET/biol/botany#;Biological Taxonomy Vocabulary 0.2 (Botany)
br;http://vocab.deri.ie/br#;Brainstorm Ontology
c4n;http://vocab.deri.ie/c4n#;Call for Anything vocabulary
c4o;http://purl.org/spar/c4o/;C4O, the Citation Counting and Context Characterization Ontology
cal;http://www.w3.org/2002/12/cal/ical#;Internet Calendaring and Scheduling Core Object Specification
cc;http://creativecommons.org/ns#;Creative Commons Rights Expression Language
cco;http://purl.org/ontology/cco/core#;Cognitive Characteristics Ontology
cdm;http://purl.org/twc/ontology/cdm.owl#;Conceptual Depth and Momentum
cdtype;http://purl.org/cld/cdtype/;The Collection Description Type Namespace
ceo;http://www.ebusiness-unibw.org/ontologies/consumerelectronics/v1#;Consumer Electronics Ontology
cert;http://www.w3.org/ns/auth/cert#;The Cert Ontology
cgov;http://reference.data.gov.uk/def/central-government/;Central Government Ontology
chord;http://purl.org/ontology/chord/;The OMRAS2 Chord Ontology
cito;http://purl.org/spar/cito/;CiTO, the Citation Typing Ontology
citof;http://www.essepuntato.it/2013/03/cito-functions#;Functions of Citations
cld;http://purl.org/cld/terms/;The Collection Description Terms
cmo;http://purl.org/twc/ontologies/cmo.owl#;Conceptual Model Ontology
cnt;http://www.w3.org/2011/content#;Representing Content in RDF
co;http://purl.org/ontology/co/core#;Counter Ontology
cogs;http://vocab.deri.ie/cogs#;COGS Vocabulary
cold;http://purl.org/configurationontology#;Configuration ontology
coll;http://purl.org/co/;Collections Ontology
comm;http://vocab.resc.info/communication#;Vocabulary related to incident communication
con;http://www.w3.org/2000/10/swap/pim/contact#;Contact
conversion;http://purl.org/twc/vocab/conversion/;Conversion Ontology
coo;http://purl.org/coo/ns#;Car Options Ontology
coun;http://www.daml.org/2001/09/countries/iso-3166-ont#;ISO 3166 Country Codes
cpa;http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#;Content Pattern Annotations
crm;http://purl.org/NET/cidoc-crm/core#;CIDOC Conceptual Reference Model in OWL
crsw;http://courseware.rkbexplorer.com/ontologies/courseware#;ReSIST Courseware Ontology
cs;http://purl.org/vocab/changeset/schema#;Changeset
csp;http://vocab.deri.ie/csp#;Constraint Satisfaction Problems Vocabulary
ct;http://www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl#;Connectivity types
ctag;http://commontag.org/ns#;Common Tag Vocabulary
ctorg;http://purl.org/ctic/infraestructuras/organizacion#;Vocabulario de la estructura de organismos públicos
d2rq;http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#;D2RQ - Language Specification
dady;http://purl.org/NET/dady#;Dataset Dynamics (dady) vocabulary
daia;http://purl.org/ontology/daia/;Document Availability Information Ontology
dcam;http://purl.org/dc/dcam/;DCMI Abstract Model
dcat;http://www.w3.org/ns/dcat#;Data Catalog Vocabulary
dce;http://purl.org/dc/elements/1.1/;Dublin Core Metadata Element Set
dcite;http://purl.org/spar/datacite/;The DataCite Ontology
dcndl;http://ndl.go.jp/dcndl/terms/;NDL Metadata Terms
dcterms;http://purl.org/dc/terms/;DCMI Metadata Terms
dctype;http://purl.org/dc/dcmitype/;DCMI Type Vocabulary
deo;http://purl.org/spar/deo/;The Discourse Elements Ontology
dicom;http://purl.org/healthcarevocab/v1#;Healthcare metadata - DICOM ontology
dir;http://schemas.talis.com/2005/dir/schema#;Directory Schema
disco;http://rdf-vocabulary.ddialliance.org/discovery#;DDI-RDF Discovery Vocabulary
dl;http://ontology.ip.rm.cnr.it/ontologies/DOLCE-Lite#;The DOLCE and DnS ontologies in OWL
doap;http://usefulinc.com/ns/doap#;Description of a Project vocabulary
doc;http://www.w3.org/2000/10/swap/pim/doc#;Works, licences, derivatives and dependencies
doco;http://purl.org/spar/doco/;DoCO, the Document Components Ontology
dqm;http://purl.org/dqm-vocabulary/v1/dqm#;The Data Quality Management Vocabulary
dr;http://purl.org/swan/2.0/discourse-relationships/;Discourse relationships vocabulary
drm;http://vocab.data.gov/def/drm#;Data Reference Model
ds;http://purl.org/ctic/dcat#;Dataset Catalog Vocabulary
dso;http://inference-web.org/2.0/ds.owl#;Data Structure Ontology
dtype;http://www.linkedmodel.org/schema/dtype#;Datatype Ontology
dul;http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#;DOLCE+DnS Ultralite
earl;http://www.w3.org/ns/earl#;Evaluation and Report Language
ebucore;http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#;EBU Ontology
